id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
43847148,MASLAK 1453'DE 1+0 TERASLI ORMAN MANZARALI,220972,Barış,,Sisli,41.11619,29.01043,Entire home/apt,1216,1,0,,,28,365,0,
43847150,MASLAK'ta 2+1 TERASLI LUX ORMAN MANZARALI  DAİRE,220972,Barış,,Sisli,41.11478,29.01304,Entire home/apt,2586,7,0,,,28,180,0,
43848457,standart triple room with breakfast,261008756,Suzan,,Fatih,41.00381,28.9766,Entire home/apt,362,1,2,2021-07-09,0.80,10,365,2,
43855031,Libadiye Caddesi-Üsküdar - Kiralık Oda Daire,245615360,Emre,,Uskudar,41.00851,29.07527,Private room,250,1,0,,,1,179,0,
43855211,"Designer Apartment, Bosporus Views, best location.",3242426,Kadir,,Beyoglu,41.02607,28.97494,Entire home/apt,1862,1,10,2021-07-20,0.70,12,104,6,
43855280,İstanbul Silivri/Selimpaşa Müstakil Havuzlu Villa,350790607,Muhammet Kerem,,Silivri,41.06939,28.37391,Entire home/apt,2000,4,10,2021-09-13,0.66,1,363,5,
43856936,Loft Industrial Studio with Wifi 4FLOOR-DSINFECTED,50274213,Yusuf,,Fatih,41.00626,28.96913,Entire home/apt,463,1,40,2021-08-18,2.83,27,354,29,
43857638,Superior Suite No:1 in Taksim,239142602,Oğuz Emre,,Beyoglu,41.0317,28.98312,Entire home/apt,333,1,21,2020-12-14,1.62,11,362,11,
43858013,Comfort Suite No:1 in Taksim,239142602,Oğuz Emre,,Beyoglu,41.0336,28.98328,Entire home/apt,510,1,22,2021-02-24,1.61,11,359,10,
43858272,Family Suite No:1 in Taksim,239142602,Oğuz Emre,,Beyoglu,41.03356,28.98183,Entire home/apt,466,1,24,2021-05-03,1.61,11,305,16,
43860575,Sile Center 🎯 🐳 Sea View Balcony ⛵️Clean & Safe 🗝,339988157,Cemre,,Sile,41.17369,29.61055,Entire home/apt,550,5,5,2020-09-28,0.35,2,365,1,
43864410,Cozy and Spacious Apartment in Nisantasi,63181462,Yasemin,,Sisli,41.05422,28.99238,Entire home/apt,450,2,7,2021-09-23,0.61,1,349,6,
43865648,"feel at home, nice view",83128028,Saban,,Besiktas,41.06864,29.03117,Private room,450,3,0,,,1,88,0,
43867834,"Your colorful, stylish & new Penthouse w Terrace",16180402,Serdar,,Beyoglu,41.0252,28.977,Entire home/apt,1111,2,44,2021-09-26,6.84,11,348,36,
43868094,central residence,67917894,Mina,,Umraniye,41.01128,29.18474,Entire home/apt,311,7,4,2020-09-05,0.30,3,334,0,
43868831,130 m2 flat at the heart of Istanbul,350962854,Ogul Suleyman,,Kadikoy,40.98706,29.02744,Entire home/apt,776,3,0,,,1,365,0,
43871046,2 Bedrooms With Kitchen İn The Old City 1,26456723,Sedat,,Fatih,41.00446,28.96657,Entire home/apt,466,2,14,2021-03-12,0.95,4,349,5,
43874796,Welcome to Your Home in Istanbul…,3920907,Abdullah,,Kucukcekmece,40.99244,28.79523,Private room,400,1,0,,,3,365,0,
43874945,"İstanbul'un merkezi, metro 2 dk-metrobüs 10 dk",351101917,İlyas,,Uskudar,41.02402,29.0355,Private room,100,1,1,2020-09-19,0.08,1,365,0,
43877240,هادئ جداً وأطلالة مميزة Very quiet and good view,246719541,Moataz Ballah,,Basaksehir,41.07381,28.77493,Entire home/apt,667,2,0,,,1,356,0,
